assex,assey
10.706314,0
10.706268,0
10.706222,0
10.706177,0
10.706131,0
10.706085,0
10.70604,0
10.705994,0
10.705948,0
10.705903,0
10.705857,0
10.705811,0
10.705766,0
10.70572,0
10.705674,0
10.705629,0
10.705583,0
10.705537,0
10.705492,0
10.705446,0
10.7054,0
10.705355,0
10.705309,0
10.705263,0
10.705218,0
10.705172,0
10.705126,0
10.705081,0
10.705035,0
10.704989,0
10.704944,0
10.704898,0
10.704852,0
10.704807,0
10.704761,0
10.704716,0
10.70467,0
10.704624,0
10.704579,0
10.704533,0
10.704487,0
10.704442,0
10.704396,0
10.70435,0
10.704305,0
10.704259,0
10.704213,0
10.704168,0
10.704122,0
10.704076,0
10.704031,0
10.703985,0
10.703939,0
10.703894,0
10.703848,0
10.703802,0
10.703757,0
10.703711,0
10.703665,0
10.70362,0
10.703574,0
10.703528,0
10.703483,0
10.703437,0
10.703391,0
10.703346,0
10.7033,0
10.703254,0
10.703209,0
10.703163,0
10.703117,0
10.703072,0
10.703026,0
10.70298,0
10.702935,0
10.702889,0
10.702843,0
10.702798,0
10.702752,0
10.702706,0
10.702661,0
10.702615,0
10.702569,0
10.702524,0
10.702478,0
10.702432,0
10.702387,0
10.702341,0
10.702295,0
10.70225,0
10.702204,0
10.702158,0
10.702113,0
10.702067,0
10.702021,0
10.701976,0
10.70193,0
10.701884,0
10.701839,0
10.701793,0
10.701747,0
10.701702,0
10.701656,0
10.70161,0
10.701565,0
10.701519,0
10.701473,0
10.701428,0
10.701382,0
10.701336,0
10.701291,0
10.701245,0
10.701199,0
10.701154,0
10.701108,0
10.701062,0
10.701017,0
10.700971,0
10.700925,0
10.70088,0
10.700834,0
10.700788,0
10.700743,0
10.700697,0
10.700651,0
10.700606,0
10.70056,0
10.700514,0
10.700469,0
10.700423,0
10.700377,0
10.700332,0
10.700286,0
10.70024,0
10.700195,0
10.700149,0
10.700103,0
10.700058,0
10.700012,0
10.699966,0
10.699921,0
10.699875,0
10.699829,0
10.699784,0
10.699738,0
10.699692,0
10.699647,0
10.699601,0
10.699555,0
10.69951,0
10.699464,0
10.699418,0
10.699373,0
10.699327,0
10.699281,0
10.699236,0
10.69919,0
10.699144,0
10.699099,0
10.699053,0
10.699007,0
10.698962,0
10.698916,0
10.69887,0
10.698825,0
10.698779,0
10.698734,0
10.698688,0
10.698642,0
10.698597,0
10.698551,0
10.698505,0
10.69846,0
10.698414,0
10.698368,0
10.698323,0
10.698277,0
10.698231,0
10.698186,0
10.69814,0
10.698094,0
10.698049,0
10.698003,0
10.697957,0
10.697912,0
10.697866,0
10.69782,0
10.697775,0
10.697729,0
10.697683,0
10.697638,0
10.697592,0
10.697546,0
10.697501,0
10.697455,0
10.697409,0
10.697364,0
10.697318,0
10.697272,0
10.697227,0
10.697181,0
10.697135,0
10.69709,0
10.697044,0
10.696998,0
10.696953,0
10.696907,0
10.696861,0
10.696816,0
10.69677,0
10.696724,0
10.696679,0
10.696633,0
10.696587,0
10.696542,0
10.696496,0
10.69645,0
10.696405,0
10.696359,0
10.696313,0
10.696268,0
10.696222,0
10.696176,0
10.696131,0
10.696085,0
10.696039,0
10.695994,0
10.695948,0
10.695902,0
10.695857,0
10.695811,0
10.695765,0
10.69572,0
10.695674,0
10.695628,0
10.695583,0
10.695537,0
10.695491,0
10.695446,0
10.6954,0
10.695354,0
10.695309,0
10.695263,0
10.695217,0
10.695172,0
10.695126,0
10.69508,0
10.695035,0
10.694989,0
10.694943,0
10.694898,0
10.694852,0
10.694806,0
10.694761,0
10.694715,0
10.694669,0
10.694624,0
10.694578,0
10.694532,0
10.694487,0
10.694441,0
10.694395,0
10.69435,0
10.694304,0
10.694258,0
10.694213,0
10.694167,0
10.694121,0
10.694076,0
10.69403,0
10.693984,0
10.693939,0
10.693893,0
10.693847,0
10.693802,0
10.693756,0
10.69371,0
10.693665,0
10.693619,0
10.693573,0
10.693528,0
10.693482,0
10.693436,0
10.693391,0
10.693345,0
10.693299,0
10.693254,0
10.693208,0
10.693162,0
10.693117,0
10.693071,0
10.693025,0
10.69298,0
10.692934,0
10.692888,0
10.692843,0
10.692797,0
10.692751,0
10.692706,0
10.69266,0
10.692615,0
10.692569,0
10.692523,0
10.692478,0
10.692432,0
10.692386,0
10.692341,0
10.692295,0
10.692249,0
10.692204,0
10.692158,0
10.692112,0
10.692067,0
10.692021,0
10.691975,0
10.69193,0
10.691884,0
10.691838,0
10.691793,0
10.691747,0
10.691701,0
10.691656,0
10.69161,0
10.691564,0
10.691519,0
10.691473,0
10.691427,0
10.691382,0
10.691336,0
10.69129,0
10.691245,0
10.691199,0
10.691153,0
10.691108,0
10.691062,0
10.691016,0
10.690971,0
10.690925,0
10.690879,0
10.690834,0
10.690788,0
10.690742,0
10.690697,0
10.690651,0
10.690605,0
10.69056,0
10.690514,0
10.690468,0
10.690423,0
10.690377,0
10.690331,0
10.690286,0
10.69024,0
10.690194,0
10.690149,0
10.690103,0
10.690057,0
10.690012,0
10.689966,0
10.68992,0
10.689875,0
10.689829,0
10.689783,0
10.689738,0
10.689692,0
10.689646,0
10.689601,0
10.689555,0
10.689509,0
10.689464,0
10.689418,0
10.689372,0
10.689327,0
10.689281,0
10.689235,0
10.68919,0
10.689144,0
10.689098,0
10.689053,0
10.689007,0
10.688961,0
10.688916,0
10.68887,0
10.688824,0
10.688779,0
10.688733,0
10.688687,0
10.688642,0
10.688596,0
10.68855,0
10.688505,0
10.688459,0
10.688413,0
10.688368,0
10.688322,0
10.688276,0
10.688231,0
10.688185,0
10.688139,0
10.688094,0
10.688048,0
10.688002,0
10.687957,0
10.687911,0
10.687865,0
10.68782,0
10.687774,0
10.687728,0
10.687683,0
10.687637,0
10.687591,0
